Date,// #,EPEX SPOT DA_DE/AUT (?/MWh),Sin(Hours),Cos(Hour),Sin(Day),Cos(Day),Transfercapacities X > BZN,Transfercapacities BZN > X,Carbon Price (EUSP),Gas Price,Price Swissix,PHELIX Futures Peak FP01,PHELIX Futures Base FB01,Holiday DE,actual Load DE,forecasted Load DE ,Gen GER FC,Wind Gen DE FC,PV Gen DE FC,LoadFC-WindPVFC GER,Gen AUT FC,Gen FRA FC,Gen CZ FC,Load CZ FC,EXXA-Data
01.01.2015 00:00,0,25.02,0,1,-0.975,-0.223,9763,9963,7.2,21.499,44.94,25,21.75,1,42558,35538,44992,NA,0,NA,3455,76550,7616,6568,25.98
01.01.2015 01:00,1,18.29,0.259,0.966,-0.975,-0.223,9763,9963,7.2,21.499,43.43,25,21.75,1,41620,33556,44249,NA,0,NA,3274,75458,7676,6494,24.2
01.01.2015 02:00,2,16.04,0.5,0.866,-0.975,-0.223,9763,9963,7.2,21.499,38.08,25,21.75,1,40611,31991,43099,NA,0,NA,3119,73688,7567,6375,22.55
01.01.2015 03:00,3,14.6,0.707,0.707,-0.975,-0.223,9763,9963,7.2,21.499,35.47,25,21.75,1,38809,31435,41745,NA,0,NA,2994,72017,7279,6231,20.27
01.01.2015 04:00,4,14.95,0.866,0.5,-0.975,-0.223,9763,9963,7.2,21.499,30.83,25,21.75,1,38411,31105,41474,NA,0,NA,2968,68956,6999,6171,19.17
01.01.2015 05:00,5,14.5,0.966,0.259,-0.975,-0.223,9763,9963,7.2,21.499,28.26,25,21.75,1,37426,30946,41057,NA,0,NA,3044,67755,6941,6095,17.37
01.01.2015 06:00,6,10.76,1,0,-0.975,-0.223,9763,9963,7.2,21.499,25.36,25,21.75,1,36115,29454,40339,NA,0,NA,3142,67510,6913,6106,17.29
01.01.2015 07:00,7,12.01,0.966,-0.259,-0.975,-0.223,9763,9963,7.2,21.499,26.93,25,21.75,1,36229,29695,40693,NA,0,NA,3408,67286,7102,6097,17.87
01.01.2015 08:00,8,12.39,0.866,-0.5,-0.975,-0.223,9763,9963,7.2,21.499,24.95,25,21.75,1,36529,31414,42958,NA,2,NA,3570,67137,7212,6035,18.03
01.01.2015 09:00,9,14.04,0.707,-0.707,-0.975,-0.223,9763,9963,7.2,21.499,26.71,25,21.75,1,38909,33483,46957,NA,329,NA,3765,68193,7625,6464,20.35
01.01.2015 10:00,10,14.68,0.5,-0.866,-0.975,-0.223,9763,9963,7.2,21.499,30.04,25,21.75,1,41173,35370,50712,NA,1307,NA,3908,70594,7610,6936,22.47
01.01.2015 11:00,11,16.08,0.259,-0.966,-0.975,-0.223,9763,9963,7.2,21.499,31.77,25,21.75,1,43186,37856,53572,NA,2326,NA,3946,72411,7817,7073,25.14
01.01.2015 12:00,12,16.08,0,-1,-0.975,-0.223,9763,9963,7.2,21.499,35.09,25,21.75,1,45225,39482,54274,NA,2933,NA,4068,74452,7917,7205,25.53
01.01.2015 13:00,13,16.05,-0.259,-0.966,-0.975,-0.223,9763,9963,7.2,21.499,35.39,25,21.75,1,44375,38767,52473,NA,2916,NA,3960,72915,7892,7270,24.08
01.01.2015 14:00,14,16.04,-0.5,-0.866,-0.975,-0.223,9763,9963,7.2,21.499,31.47,25,21.75,1,43602,38032,50476,NA,2281,NA,3938,70773,7892,7417,23.25
